"file"	"kind"	"detail"
"OEBPS/text/ch283.xhtml"	"image-alt"	"../images/outfit_suit_Jiho.jpg"
"OEBPS/text/ch001.xhtml"	"metrics-band"	"max p 124; dashes/1k 21.74; includes furniture"
"OEBPS/text/ch002.xhtml"	"metrics-band"	"max p 84; dashes/1k 27.9; includes furniture"
"OEBPS/text/ch003.xhtml"	"metrics-band"	"max p 83; dashes/1k 16.54; includes furniture"
"OEBPS/text/ch004.xhtml"	"metrics-band"	"max p 65; dashes/1k 22.34; includes furniture"
"OEBPS/text/ch005.xhtml"	"metrics-band"	"max p 82; dashes/1k 24.9; includes furniture"
"OEBPS/text/ch006.xhtml"	"metrics-band"	"max p 63; dashes/1k 25.3; includes furniture"
"OEBPS/text/ch007.xhtml"	"metrics-band"	"max p 60; dashes/1k 20.94; includes furniture"
"OEBPS/text/ch008.xhtml"	"metrics-band"	"max p 66; dashes/1k 23.17; includes furniture"
"OEBPS/text/ch009.xhtml"	"metrics-band"	"max p 60; dashes/1k 26.62; includes furniture"
"OEBPS/text/ch010.xhtml"	"metrics-band"	"max p 94; dashes/1k 24.01; includes furniture"
"OEBPS/text/ch011.xhtml"	"metrics-band"	"max p 112; dashes/1k 23.57; includes furniture"
"OEBPS/text/ch012.xhtml"	"metrics-band"	"max p 125; dashes/1k 22.09; includes furniture"
"OEBPS/text/ch013.xhtml"	"metrics-band"	"max p 106; dashes/1k 26.01; includes furniture"
"OEBPS/text/ch014.xhtml"	"doubled-word"	"lely in the company. Article · Breach Breach of contract incurs liquidated dama"
"OEBPS/text/ch014.xhtml"	"metrics-band"	"max p 109; dashes/1k 23.22; includes furniture"
"OEBPS/text/ch015.xhtml"	"metrics-band"	"max p 73; dashes/1k 22.96; includes furniture"
"OEBPS/text/ch016.xhtml"	"metrics-band"	"max p 87; dashes/1k 24.15; includes furniture"
"OEBPS/text/ch017.xhtml"	"metrics-band"	"max p 80; dashes/1k 25.27; includes furniture"
"OEBPS/text/ch018.xhtml"	"metrics-band"	"max p 64; dashes/1k 19.47; includes furniture"
"OEBPS/text/ch019.xhtml"	"doubled-word"	"actually. What do you say?” “No no no—” Hands flapping, a flush of em"
"OEBPS/text/ch019.xhtml"	"metrics-band"	"max p 76; dashes/1k 24.44; includes furniture"
"OEBPS/text/ch020.xhtml"	"doubled-word"	"s own punchline before it landed. “Heh heh — because — hahaha — because the t"
"OEBPS/text/ch020.xhtml"	"doubled-word"	"-wan was fully invested now. “Heh heh — wrong again — hahaha—” He was wh"
"OEBPS/text/ch020.xhtml"	"metrics-band"	"max p 89; dashes/1k 38.14; includes furniture"
"OEBPS/text/ch021.xhtml"	"metrics-band"	"max p 66; dashes/1k 22.71; includes furniture"
"OEBPS/text/ch022.xhtml"	"metrics-band"	"max p 72; dashes/1k 29.96; includes furniture"
"OEBPS/text/ch023.xhtml"	"metrics-band"	"max p 108; dashes/1k 28.0; includes furniture"
"OEBPS/text/ch024.xhtml"	"metrics-band"	"max p 57; dashes/1k 33.77; includes furniture"
"OEBPS/text/ch025.xhtml"	"metrics-band"	"max p 71; dashes/1k 30.5; includes furniture"
"OEBPS/text/ch026.xhtml"	"metrics-band"	"max p 98; dashes/1k 30.39; includes furniture"
"OEBPS/text/ch027.xhtml"	"metrics-band"	"max p 56; dashes/1k 36.62; includes furniture"
"OEBPS/text/ch028.xhtml"	"metrics-band"	"max p 66; dashes/1k 41.81; includes furniture"
"OEBPS/text/ch029.xhtml"	"metrics-band"	"max p 70; dashes/1k 23.2; includes furniture"
"OEBPS/text/ch030.xhtml"	"metrics-band"	"max p 81; dashes/1k 18.69; includes furniture"
"OEBPS/text/ch031.xhtml"	"doubled-word"	"re and carried the basket in. Knock knock. “Come in!” Tiffany was"
"OEBPS/text/ch031.xhtml"	"metrics-band"	"max p 76; dashes/1k 34.23; includes furniture"
"OEBPS/text/ch032.xhtml"	"doubled-word"	"tually happened last night?” “Yes yes — tell us everything, from the sta"
"OEBPS/text/ch032.xhtml"	"metrics-band"	"max p 95; dashes/1k 31.4; includes furniture"
